seed,trial,n,m,rank_requested,rank_used,k_ratio,svd_topk_err,random_AB_err,rand_svd_subspace_err,leverage_col_err,random_colprune_err,params_svd_topk,params_random_AB,nnz_svd_col,topk_energy
0,191,128,64,16,16,0.25,0.6975948477145437,1.4185016974593394,0.8794596183959195,0.8396040368589113,0.8632507243529606,3088,3072,2048,0.5133614284421226
0,192,128,64,16,16,0.25,0.6985943441488974,1.4183741262944374,0.8186141904381662,0.8439143503240802,0.8676618357385799,3088,3072,2048,0.5119659423231719
0,193,128,64,16,16,0.25,0.7048498720184195,1.4093145495116919,0.927049911557111,0.8427190293794612,0.8643186626953745,3088,3072,2048,0.5031866579156177
0,194,128,64,16,16,0.25,0.6975132440849786,1.4245864784604738,0.8897612414485118,0.8440638079970378,0.8692192132349588,3088,3072,2048,0.513475274326049
0,195,128,64,16,16,0.25,0.7038278086054538,1.4010206283061148,0.8776496110452655,0.8424934247984736,0.8641939085808015,3088,3072,2048,0.5046264158336445
0,196,128,64,16,16,0.25,0.6980745153775644,1.4105292177132558,0.8668224639234835,0.8405543459679771,0.8631318528368331,3088,3072,2048,0.5126919709803787
0,197,128,64,16,16,0.25,0.7001352060712478,1.4308144379559091,0.8801050125779406,0.8422713968013344,0.8621588712085915,3088,3072,2048,0.5098106932195715
0,198,128,64,16,16,0.25,0.7017711800668287,1.4249255065127415,0.8611913940978398,0.8401342722194988,0.8664043507666603,3088,3072,2048,0.5075172108276105
0,199,128,64,16,16,0.25,0.7047648752455116,1.4132972693108599,0.8664666423280609,0.8439800765996723,0.8690268125470979,3088,3072,2048,0.5033064706201785
0,0,128,64,32,32,0.5,0.4576504222650124,1.4085747078839925,0.7670966705050498,0.6681336301948705,0.7109283526323958,6176,6144,4096,0.7905560910006557
0,1,128,64,32,32,0.5,0.45544482389062635,1.4136061989875406,0.6790255334740116,0.6692679699801113,0.697797693199513,6176,6144,4096,0.7925700123912365
0,2,128,64,32,32,0.5,0.46004675559709585,1.4183833408282076,0.6488143730500502,0.6752068112586203,0.702268958941267,6176,6144,4096,0.788356982664586
0,3,128,64,32,32,0.5,0.45660217903884626,1.4138543352807211,0.7087228749715799,0.6668910442682857,0.7001859328586191,6176,6144,4096,0.7915144500969775
0,4,128,64,32,32,0.5,0.449725383914564,1.426737291167052,0.6726121886017812,0.6701039193113121,0.7147971787725779,6176,6144,4096,0.7977470790628981
0,5,128,64,32,32,0.5,0.45794946982820445,1.4157979187006762,0.7076035786357363,0.6735712710673285,0.7095530358803145,6176,6144,4096,0.7902822830840663
0,6,128,64,32,32,0.5,0.46444467262893246,1.4141953718831344,0.7701472576013111,0.6709125921485518,0.7107996730820518,6176,6144,4096,0.7842911460666034
0,7,128,64,32,32,0.5,0.45725465967905315,1.4167709200400957,0.7214034878927481,0.6704264046754873,0.7048362905979987,6176,6144,4096,0.7909181762017933
0,8,128,64,32,32,0.5,0.456645386092961,1.3921204101410982,0.7506379576464051,0.6720572712964065,0.7102107555717138,6176,6144,4096,0.7914749913600105
0,9,128,64,32,32,0.5,0.4619922511632899,1.418696521083697,0.6785175353024061,0.6726963684583238,0.7040192441505283,6176,6144,4096,0.7865631598650754
0,10,128,64,32,32,0.5,0.4626144078539901,1.417572731047743,0.7279458868881634,0.6684334130580779,0.7131187081428749,6176,6144,4096,0.7859879096459018
